Question,Correct Answer,Guess,Similarity,Accuracy,Comments
The forint is the monetary unit of what central European country?,Hungary,hungarian,6,1,
The forint is the monetary unit of what central European country?,Hungary,hungary,7,1,
The forint is the monetary unit of what central European country?,Hungary,hungery,6,1,
The forint is the monetary unit of what central European country?,Hungary,hungrary,6,1,
The forint is the monetary unit of what central European country?,Hungary,hungry,6,1,
The forint is the monetary unit of what central European country?,Hungary,iceland,5,0,
The forint is the monetary unit of what central European country?,Hungary,ireland,3,0,
The forint is the monetary unit of what central European country?,Hungary,italy,4,0,
The forint is the monetary unit of what central European country?,Hungary,japan,2,0,
The forint is the monetary unit of what central European country?,Hungary,liptinstein,5,0,
The forint is the monetary unit of what central European country?,Hungary,lithuania,5,0,
The forint is the monetary unit of what central European country?,Hungary,luxembourg,5,0,
The forint is the monetary unit of what central European country?,Hungary,luxenbourg,5,0,
The forint is the monetary unit of what central European country?,Hungary,monaco,4,0,
The forint is the monetary unit of what central European country?,Hungary,netherlands,4,0,
The forint is the monetary unit of what central European country?,Hungary,nickel,1,0,
The forint is the monetary unit of what central European country?,Hungary,norway,3,0,
The forint is the monetary unit of what central European country?,Hungary,not sure,1,0,
The forint is the monetary unit of what central European country?,Hungary,pakistan,2,0,
The forint is the monetary unit of what central European country?,Hungary,penny,1,0,
The forint is the monetary unit of what central European country?,Hungary,poland,4,0,
The forint is the monetary unit of what central European country?,Hungary,portgual,3,0,
The forint is the monetary unit of what central European country?,Hungary,portugal,3,0,
The forint is the monetary unit of what central European country?,Hungary,pound,1,0,
The forint is the monetary unit of what central European country?,Hungary,pounds,1,0,
The forint is the monetary unit of what central European country?,Hungary,romania,5,0,
The forint is the monetary unit of what central European country?,Hungary,russia,4,0,
The forint is the monetary unit of what central European country?,Hungary,slovakia,5,0,
The forint is the monetary unit of what central European country?,Hungary,spain,3,0,
The forint is the monetary unit of what central European country?,Hungary,sweden,3,0,
The forint is the monetary unit of what central European country?,Hungary,swedin,2,0,
The forint is the monetary unit of what central European country?,Hungary,switzerland,2,0,
The forint is the monetary unit of what central European country?,Hungary,the euro,1,0,
The forint is the monetary unit of what central European country?,Hungary,turkey,5,0,
The forint is the monetary unit of what central European country?,Hungary,uk,3,0,
The forint is the monetary unit of what central European country?,Hungary,ukraine,5,0,
The forint is the monetary unit of what central European country?,Hungary,us,1,0,
What are you shopping for if you're sized up by a Brannock Device?,Shoes,a suit,4,0,
What are you shopping for if you're sized up by a Brannock Device?,Shoes,a suite,3,0,
What are you shopping for if you're sized up by a Brannock Device?,Shoes,airline seat,1,0,
What are you shopping for if you're sized up by a Brannock Device?,Shoes,artificial limb,6,0,
What are you shopping for if you're sized up by a Brannock Device?,Shoes,asthetic device,6,0,
What are you shopping for if you're sized up by a Brannock Device?,Shoes,back brace,5,0,
What are you shopping for if you're sized up by a Brannock Device?,Shoes,bed,1,0,
What are you shopping for if you're sized up by a Brannock Device?,Shoes,bra,4,0,
What are you shopping for if you're sized up by a Brannock Device?,Shoes,brace,5,0,
What are you shopping for if you're sized up by a Brannock Device?,Shoes,cell phone,1,0,
What are you shopping for if you're sized up by a Brannock Device?,Shoes,clothes,4,0,
What are you shopping for if you're sized up by a Brannock Device?,Shoes,coat,4,0,
What are you shopping for if you're sized up by a Brannock Device?,Shoes,coffin,1,0,
What are you shopping for if you're sized up by a Brannock Device?,Shoes,diamond jewelry,2,0,
What are you shopping for if you're sized up by a Brannock Device?,Shoes,drugs,1,0,
What are you shopping for if you're sized up by a Brannock Device?,Shoes,gold,1,0,
What are you shopping for if you're sized up by a Brannock Device?,Shoes,gun,1,0,
What are you shopping for if you're sized up by a Brannock Device?,Shoes,guns,1,0,
What are you shopping for if you're sized up by a Brannock Device?,Shoes,hat,3,0,
What are you shopping for if you're sized up by a Brannock Device?,Shoes,headphones,2,0,
What are you shopping for if you're sized up by a Brannock Device?,Shoes,heart monitor,3,0,
What are you shopping for if you're sized up by a Brannock Device?,Shoes,jewlery,3,0,
What are you shopping for if you're sized up by a Brannock Device?,Shoes,kevlar vest,3,0,
What are you shopping for if you're sized up by a Brannock Device?,Shoes,loins,1,0,
What are you shopping for if you're sized up by a Brannock Device?,Shoes,mri machine,3,0,
What are you shopping for if you're sized up by a Brannock Device?,Shoes,not sure,1,0,
What are you shopping for if you're sized up by a Brannock Device?,Shoes,pants,4,0,
What are you shopping for if you're sized up by a Brannock Device?,Shoes,pistons,1,0,
What are you shopping for if you're sized up by a Brannock Device?,Shoes,ring,3,0,
What are you shopping for if you're sized up by a Brannock Device?,Shoes,shock collar,2,0,
What are you shopping for if you're sized up by a Brannock Device?,Shoes,shoe,6,0,
What are you shopping for if you're sized up by a Brannock Device?,Shoes,shoes,7,1,
What are you shopping for if you're sized up by a Brannock Device?,Shoes,skip,1,0,
What are you shopping for if you're sized up by a Brannock Device?,Shoes,suit,4,0,
What are you shopping for if you're sized up by a Brannock Device?,Shoes,tablet,1,0,
What are you shopping for if you're sized up by a Brannock Device?,Shoes,watch,3,0,
What are you shopping for if you're sized up by a Brannock Device?,Shoes,wetsuit,4,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,ablo hies,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,adain prey,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,alda,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,angel,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,argentina,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,argentinian president,5,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,ava,6,1,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,ava peron,6,1,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,aveta,6,1,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,avita,6,1,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,bob marley,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,bolivar,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,burno,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,carlos,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,che,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,che guevara,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,cloie,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,cristina,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,cristina kirchner,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,doolores,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,ego,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,emma,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,emma ingram,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,eva,6,1,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,eva braun,6,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,eva conner,6,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,eva donglas,6,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,eva forte,6,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,eva gabon,6,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,eva gerlon,6,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,eva paron,6,1,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,eva perdon,6,1,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,eva perin,6,1,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,eva peron,7,1,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,eva perone,6,1,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,eva perron,6,1,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,eva petro,6,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,eva petron,6,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,eva provon,6,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,eva smith,5,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,eve everson,5,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,eve peron,6,1,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,evita,6,1,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,evita peron,6,1,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,evita perone,6,1,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,fiji gurdian,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,frances bolivar,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,freida,2,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,frida kahlo,2,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,frida khalo,2,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,gauch gill,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,gelli,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,holly,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,hugon,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,iclea,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,jack,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,jackie collins,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,james harbor,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,javier concha,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,jimmy james,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,joan of arc,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,joan of the arc,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,joan wilson,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,john doe,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,jose,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,jose alvarez,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,jose carindad,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,jose palavra,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,josephia jones,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,juan sameual,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,kahlo,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,kenny price,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,king tut,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,lesandro,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,lucy,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,madam curie,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,madame clare,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,madonna,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,maggi,2,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,maggi maria,2,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,maggi marie,2,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,maggie mculough,2,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,margaret,2,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,maria,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,maria dontcryformeargentina,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,maria jimenez,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,maria kalo,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,maria magdalina,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,maria maggi,2,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,maria malone,2,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,maria margo,2,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,maria menounos,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,maria rongolio,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,maria tortes,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,maria vasquez,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,maria zalan,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,mariam,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,marie,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,marie antoinette,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,marie curie,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,marie gonzales,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,marilyn monroe,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,marissa,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,mary,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,mary magdelyn,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,mary twine,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,mendalin,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,meredith,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,mia,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,milan,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,mother theresa,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,myra,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,nolan,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,not sure,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,pamela corson,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,patron,5,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,paya,4,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,perez,4,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,peron,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,person,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,peter,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,pocahontas,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,poe,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,posie,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,president of argentina,4,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,princess of argentinia,4,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,richard,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,ricky armadillo,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,rodrigo,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,rosa uma,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,rose,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,salavdor,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,salin pedroz,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,san,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,sarah malin,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,sarah solvendor,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,smith,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,sophia cruz,1,1,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,sophie conseulas,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,st julie,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,stacey williams,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,steve smith,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,teresa,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,the president of argentina's mistress,6,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,thomas edison,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,tiffany tutor,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi?,Eva Peron,walter mobece,1,0,
What body part is low-density lipoprotein most likely to clog?,Arteries,appendix,3,0,
What body part is low-density lipoprotein most likely to clog?,Arteries,arteries,7,1,
What body part is low-density lipoprotein most likely to clog?,Arteries,artery,6,1,
What body part is low-density lipoprotein most likely to clog?,Arteries,arties,6,1,
What body part is low-density lipoprotein most likely to clog?,Arteries,artiries,7,1,
What body part is low-density lipoprotein most likely to clog?,Arteries,ateries,7,1,
What body part is low-density lipoprotein most likely to clog?,Arteries,blood,5,1,
What body part is low-density lipoprotein most likely to clog?,Arteries,blood vessel,5,0,
What body part is low-density lipoprotein most likely to clog?,Arteries,blood vessels,5,0,
What body part is low-density lipoprotein most likely to clog?,Arteries,colon,3,0,
What body part is low-density lipoprotein most likely to clog?,Arteries,ear,2,0,
What body part is low-density lipoprotein most likely to clog?,Arteries,ears,2,0,
What body part is low-density lipoprotein most likely to clog?,Arteries,fat,5,0,
What body part is low-density lipoprotein most likely to clog?,Arteries,gallbladder,2,0,
What body part is low-density lipoprotein most likely to clog?,Arteries,heart,2,0,
What body part is low-density lipoprotein most likely to clog?,Arteries,heart arteries,5,1,
What body part is low-density lipoprotein most likely to clog?,Arteries,hearth,1,0,
What body part is low-density lipoprotein most likely to clog?,Arteries,intestine,2,0,
What body part is low-density lipoprotein most likely to clog?,Arteries,intestines,2,0,
What body part is low-density lipoprotein most likely to clog?,Arteries,kidney,3,0,
What body part is low-density lipoprotein most likely to clog?,Arteries,leg,3,0,
What body part is low-density lipoprotein most likely to clog?,Arteries,legs,3,0,
What body part is low-density lipoprotein most likely to clog?,Arteries,limbs,3,0,
What body part is low-density lipoprotein most likely to clog?,Arteries,liver,3,0,
What body part is low-density lipoprotein most likely to clog?,Arteries,lungs,3,0,
What body part is low-density lipoprotein most likely to clog?,Arteries,lymph nodes,3,0,
What body part is low-density lipoprotein most likely to clog?,Arteries,nose,2,0,
What body part is low-density lipoprotein most likely to clog?,Arteries,pores,2,0,
What body part is low-density lipoprotein most likely to clog?,Arteries,sinus,2,0,
What body part is low-density lipoprotein most likely to clog?,Arteries,skin,1,0,
What body part is low-density lipoprotein most likely to clog?,Arteries,stomach,3,0,
What body part is low-density lipoprotein most likely to clog?,Arteries,thigh,3,0,
What body part is low-density lipoprotein most likely to clog?,Arteries,throat,2,0,
What body part is low-density lipoprotein most likely to clog?,Arteries,vain,4,0,
What body part is low-density lipoprotein most likely to clog?,Arteries,veins,5,0,
What body part is low-density lipoprotein most likely to clog?,Arteries,viens,5,0,
What body part is low-density lipoprotein most likely to clog?,Arteries,waist,3,0,
What British group got its name from the title of a 1950 Muddy Waters song?,The Rolling Stones,aristocrats,1,0,
What British group got its name from the title of a 1950 Muddy Waters song?,The Rolling Stones,beatles,5,0,
What British group got its name from the title of a 1950 Muddy Waters song?,The Rolling Stones,beattles,5,0,
What British group got its name from the title of a 1950 Muddy Waters song?,The Rolling Stones,beetles,5,0,
What British group got its name from the title of a 1950 Muddy Waters song?,The Rolling Stones,blue monday,1,0,
What British group got its name from the title of a 1950 Muddy Waters song?,The Rolling Stones,boys to men,2,0,
What British group got its name from the title of a 1950 Muddy Waters song?,The Rolling Stones,confederates,1,0,
What British group got its name from the title of a 1950 Muddy Waters song?,The Rolling Stones,deep waters,1,0,
What British group got its name from the title of a 1950 Muddy Waters song?,The Rolling Stones,doors,4,0,
What British group got its name from the title of a 1950 Muddy Waters song?,The Rolling Stones,go go's,3,0,
What British group got its name from the title of a 1950 Muddy Waters song?,The Rolling Stones,judas priest,5,0,
What British group got its name from the title of a 1950 Muddy Waters song?,The Rolling Stones,mabeline,1,0,
What British group got its name from the title of a 1950 Muddy Waters song?,The Rolling Stones,marvin brothers,2,0,
What British group got its name from the title of a 1950 Muddy Waters song?,The Rolling Stones,monkeys,4,0,
What British group got its name from the title of a 1950 Muddy Waters song?,The Rolling Stones,muddy liberals,1,0,
What British group got its name from the title of a 1950 Muddy Waters song?,The Rolling Stones,muddy water,1,0,
What British group got its name from the title of a 1950 Muddy Waters song?,The Rolling Stones,not sure,1,0,
What British group got its name from the title of a 1950 Muddy Waters song?,The Rolling Stones,oasis,3,0,
What British group got its name from the title of a 1950 Muddy Waters song?,The Rolling Stones,pink floyd,4,0,
What British group got its name from the title of a 1950 Muddy Waters song?,The Rolling Stones,puddle of mudd,1,0,
What British group got its name from the title of a 1950 Muddy Waters song?,The Rolling Stones,queen,4,0,
What British group got its name from the title of a 1950 Muddy Waters song?,The Rolling Stones,radoihead,4,0,
What British group got its name from the title of a 1950 Muddy Waters song?,The Rolling Stones,renegades,3,0,
What British group got its name from the title of a 1950 Muddy Waters song?,The Rolling Stones,revolvers,1,0,
What British group got its name from the title of a 1950 Muddy Waters song?,The Rolling Stones,rollin stones,6,1,
What British group got its name from the title of a 1950 Muddy Waters song?,The Rolling Stones,rolling stone,5,1,
What British group got its name from the title of a 1950 Muddy Waters song?,The Rolling Stones,rolling stones,7,1,
What British group got its name from the title of a 1950 Muddy Waters song?,The Rolling Stones,rollling stones,7,1,
What British group got its name from the title of a 1950 Muddy Waters song?,The Rolling Stones,rudeboys,4,0,
What British group got its name from the title of a 1950 Muddy Waters song?,The Rolling Stones,sex pistols,4,0,
What British group got its name from the title of a 1950 Muddy Waters song?,The Rolling Stones,still waters,1,0,
What British group got its name from the title of a 1950 Muddy Waters song?,The Rolling Stones,talking heads,4,0,
What British group got its name from the title of a 1950 Muddy Waters song?,The Rolling Stones,the beatles,5,0,
What British group got its name from the title of a 1950 Muddy Waters song?,The Rolling Stones,the beetles,5,0,
What British group got its name from the title of a 1950 Muddy Waters song?,The Rolling Stones,the clash,5,0,
What British group got its name from the title of a 1950 Muddy Waters song?,The Rolling Stones,the monkeys,5,0,
What British group got its name from the title of a 1950 Muddy Waters song?,The Rolling Stones,the police,5,0,
What British group got its name from the title of a 1950 Muddy Waters song?,The Rolling Stones,the rolling stone,6,1,
What British group got its name from the title of a 1950 Muddy Waters song?,The Rolling Stones,the rolling stones,7,1,
What British group got its name from the title of a 1950 Muddy Waters song?,The Rolling Stones,the who,5,0,
What British group got its name from the title of a 1950 Muddy Waters song?,The Rolling Stones,wham,4,0,
What cartoon character did Walter Lantz create?,Woody the Woodpecker,arnold,3,0,
What cartoon character did Walter Lantz create?,Woody the Woodpecker,beatle baily,4,0,
What cartoon character did Walter Lantz create?,Woody the Woodpecker,betty boop,4,0,
What cartoon character did Walter Lantz create?,Woody the Woodpecker,blondie,1,0,
What cartoon character did Walter Lantz create?,Woody the Woodpecker,bugs bunny,4,0,
What cartoon character did Walter Lantz create?,Woody the Woodpecker,bullwinkle,4,0,
What cartoon character did Walter Lantz create?,Woody the Woodpecker,calvin and hobbs,4,0,
What cartoon character did Walter Lantz create?,Woody the Woodpecker,charlie,2,0,
What cartoon character did Walter Lantz create?,Woody the Woodpecker,charlie brown,4,0,
What cartoon character did Walter Lantz create?,Woody the Woodpecker,daffy duck,4,0,
What cartoon character did Walter Lantz create?,Woody the Woodpecker,dagwood,4,0,
What cartoon character did Walter Lantz create?,Woody the Woodpecker,dennis the menace,4,0,
What cartoon character did Walter Lantz create?,Woody the Woodpecker,dilbert,4,0,
What cartoon character did Walter Lantz create?,Woody the Woodpecker,donald duck,4,0,
What cartoon character did Walter Lantz create?,Woody the Woodpecker,family circus,3,0,
What cartoon character did Walter Lantz create?,Woody the Woodpecker,felix the cat,4,0,
What cartoon character did Walter Lantz create?,Woody the Woodpecker,foghorn leghorn,4,0,
What cartoon character did Walter Lantz create?,Woody the Woodpecker,fritz the cat,4,0,
What cartoon character did Walter Lantz create?,Woody the Woodpecker,garfeild,4,0,
What cartoon character did Walter Lantz create?,Woody the Woodpecker,garfield,4,0,
What cartoon character did Walter Lantz create?,Woody the Woodpecker,gary,1,0,
