mergecolumn,Question,Correct Answer,Guess,Similarity,Accuracy,Comments
What's the name of the main airport in Madrid? madrid aiport,What heat-resistant element replaced cotton as the filament of choice in electric light bulbs in 1910?,Tungsten,phosphorus,2,0,
What is the middle item the Cat in the Hat eventually balances in his left hand? a bowling ball,What heat-resistant element replaced cotton as the filament of choice in electric light bulbs in 1910?,Tungsten,polyester,2,0,
"What U.S. president's face graces a $100,000 bill? lyndon johnson",What heat-resistant element replaced cotton as the filament of choice in electric light bulbs in 1910?,Tungsten,protein,1,0,
Who wrote the Star Spangled Banner? charles bukowski,What heat-resistant element replaced cotton as the filament of choice in electric light bulbs in 1910?,Tungsten,radon,2,0,
What Pakistani was the first head of state in the 20th century to give birth in office? azmani jusbekistani,What heat-resistant element replaced cotton as the filament of choice in electric light bulbs in 1910?,Tungsten,silicon,2,0,
Whose 1991 autobiography was called 'And The Beat Goes On'? madonna,What heat-resistant element replaced cotton as the filament of choice in electric light bulbs in 1910?,Tungsten,silver,3,0,
The forint is the monetary unit of what central European country? sweden,What heat-resistant element replaced cotton as the filament of choice in electric light bulbs in 1910?,Tungsten,skip,1,0,
What chemical compound comes from the Greek word for 'primary'? iron,What heat-resistant element replaced cotton as the filament of choice in electric light bulbs in 1910?,Tungsten,snee,1,0,
What is the ninth most poisonous animal in the world? the treefrog,What heat-resistant element replaced cotton as the filament of choice in electric light bulbs in 1910?,Tungsten,steel,3,0,
Where was Seth MacFarlane born? minnesota,What heat-resistant element replaced cotton as the filament of choice in electric light bulbs in 1910?,Tungsten,sulfate,2,0,
What's the unit of capacity for fuel wood? log,What heat-resistant element replaced cotton as the filament of choice in electric light bulbs in 1910?,Tungsten,tensin,1,0,
What was the first physician to record case histories of patients? nightinggale,What heat-resistant element replaced cotton as the filament of choice in electric light bulbs in 1910?,Tungsten,tin,3,0,
In which Ohio city was the 1995 Bosnian peace accord signed in? springer,What heat-resistant element replaced cotton as the filament of choice in electric light bulbs in 1910?,Tungsten,titanium,3,0,
Which horse was Horse of the Year from 1960 to 1964? cleo,What heat-resistant element replaced cotton as the filament of choice in electric light bulbs in 1910?,Tungsten,tungent,4,0,
What was the name of the first probe to send back pictures from Mars? leader 1,What heat-resistant element replaced cotton as the filament of choice in electric light bulbs in 1910?,Tungsten,tungesten,7,1,
What is 'Turdus migratorius' better known as? a bird,What heat-resistant element replaced cotton as the filament of choice in electric light bulbs in 1910?,Tungsten,tungsten,7,1,
On which ship did President Nixon welcome the astronauts back from the Moon? the hornet,What heat-resistant element replaced cotton as the filament of choice in electric light bulbs in 1910?,Tungsten,tungsten or wolfram,7,1,
Which Tour did Prince begin in 1990? the revenge tour,What heat-resistant element replaced cotton as the filament of choice in electric light bulbs in 1910?,Tungsten,tungstin,7,1,
What was actor Lon Chaney also known by? james bond,What heat-resistant element replaced cotton as the filament of choice in electric light bulbs in 1910?,Tungsten,tungston,7,1,
Who invented the steamboat Clermont? jim morris,What heat-resistant element replaced cotton as the filament of choice in electric light bulbs in 1910?,Tungsten,tungstum,5,0,
What was the name of the ship on which Charles Darwin made his scientific voyage? the stinger,What heat-resistant element replaced cotton as the filament of choice in electric light bulbs in 1910?,Tungsten,tungstun,5,0,
"Along with chitin, what strengthens the exoskeleton of bugs? carbon",What heat-resistant element replaced cotton as the filament of choice in electric light bulbs in 1910?,Tungsten,tungton,4,0,
What is the most common cactus? field cactus,What heat-resistant element replaced cotton as the filament of choice in electric light bulbs in 1910?,Tungsten,tunsten,4,0,
What is the name of the composer who wrote Don Giovanni? mister johnson,What heat-resistant element replaced cotton as the filament of choice in electric light bulbs in 1910?,Tungsten,tuslam,3,0,
Who was the first solo female host of the Academy Awards Ceremony? beyonce,What heat-resistant element replaced cotton as the filament of choice in electric light bulbs in 1910?,Tungsten,wire,2,0,
Hydrogen and what are thought to be the primary elements of which Jupiter is composed? electrons,What heat-resistant element replaced cotton as the filament of choice in electric light bulbs in 1910?,Tungsten,wool,1,0,
Who was first to publish the theory that the Earth revolves around the sun? aristotle,What heat-resistant element replaced cotton as the filament of choice in electric light bulbs in 1910?,Tungsten,xeon,2,0,
What did Jonas Salk invent? the pants,What heat-resistant element replaced cotton as the filament of choice in electric light bulbs in 1910?,Tungsten,zinc,2,0,
What was the name of the lunar module that landed the first man on the moon? explorer,What inscription on US coins did Theodore Roosevelt try in vain to have removed?,In God We Trust,abraham lincon,1,0,
What song did both Ronald Reagan and Walter Mondale quote in the 1984 presidential campaign? america the great,What inscription on US coins did Theodore Roosevelt try in vain to have removed?,In God We Trust,e plubius unum,2,0,
From what were jack-o-lanterns originally carved? radishes,What inscription on US coins did Theodore Roosevelt try in vain to have removed?,In God We Trust,e plurbis unim,2,0,
What British group got its name from the title of a 1950 Muddy Waters song? oasis,What inscription on US coins did Theodore Roosevelt try in vain to have removed?,In God We Trust,e plurbis unum,2,0,
Yapping Deng was a world champion in which sport? badminton,What inscription on US coins did Theodore Roosevelt try in vain to have removed?,In God We Trust,e plurbus unum,2,0,
What is the state flower of North Dakota? orchid,What inscription on US coins did Theodore Roosevelt try in vain to have removed?,In God We Trust,e pluribus unum,2,0,
"What nation's 90-man army is the world's oldest, dating back to 1506? zimbabwe",What inscription on US coins did Theodore Roosevelt try in vain to have removed?,In God We Trust,e plurubus unum,2,0,
Who was the first country artist to sell over 10 million copies of an album? randy jackson,What inscription on US coins did Theodore Roosevelt try in vain to have removed?,In God We Trust,e. plurbus unum,2,0,
What did Jonas Salk invent? sewing machine,What inscription on US coins did Theodore Roosevelt try in vain to have removed?,In God We Trust,eagle,1,0,
Who wrote the Star Spangled Banner? ruth something,What inscription on US coins did Theodore Roosevelt try in vain to have removed?,In God We Trust,god b less america,3,0,
What's the name of the main airport in Madrid? camanche,What inscription on US coins did Theodore Roosevelt try in vain to have removed?,In God We Trust,god bless america,3,0,
What is the most common cactus? not sure,What inscription on US coins did Theodore Roosevelt try in vain to have removed?,In God We Trust,in god w e trust,7,1,
What group's lead guitar player is known for his amps with control knobs that go up to 11? kiss,What inscription on US coins did Theodore Roosevelt try in vain to have removed?,In God We Trust,in god we trust,7,1,
Who was the first democratically elected president of Russia? not sure,What inscription on US coins did Theodore Roosevelt try in vain to have removed?,In God We Trust,in got we trust,7,1,
What's the unit of capacity for fuel wood? knot,What inscription on US coins did Theodore Roosevelt try in vain to have removed?,In God We Trust,letters,1,0,
What cartoon character did Walter Lantz create? daffy duck,What inscription on US coins did Theodore Roosevelt try in vain to have removed?,In God We Trust,liberty,2,0,
What was the poison used at Socrates' execution? not sure,What inscription on US coins did Theodore Roosevelt try in vain to have removed?,In God We Trust,nickel,1,0,
Who invented the radio? not sure,What inscription on US coins did Theodore Roosevelt try in vain to have removed?,In God We Trust,pennies,1,0,
Who was the first solo female host of the Academy Awards Ceremony? not sure,What inscription on US coins did Theodore Roosevelt try in vain to have removed?,In God We Trust,penny,1,0,
What body part is low-density lipoprotein most likely to clog? intestines,What inscription on US coins did Theodore Roosevelt try in vain to have removed?,In God We Trust,photo,1,0,
Who invented the steamboat Clermont? not sure,What inscription on US coins did Theodore Roosevelt try in vain to have removed?,In God We Trust,rib,1,0,
What Pakistani was the first head of state in the 20th century to give birth in office? not sure,What inscription on US coins did Theodore Roosevelt try in vain to have removed?,In God We Trust,something about god,2,0,
What two fruits were Hawaiian women once forbidden by law to eat? coconut and mango,What inscription on US coins did Theodore Roosevelt try in vain to have removed?,In God We Trust,white house,1,0,
What was actor Lon Chaney also known by? john gilbert,What inscription on US coins did Theodore Roosevelt try in vain to have removed?,In God We Trust,words,1,0,
What is the name of Roy Rogers' horse? seabiscut,What Internet search utility was named after the mascot of the University of Minnesota?,Gopher,ask jeeves,1,0,
"Along with chitin, what strengthens the exoskeleton of bugs? don't know",What Internet search utility was named after the mascot of the University of Minnesota?,Gopher,askjeeves,1,0,
What do birds rely on to swallow? gullet,What Internet search utility was named after the mascot of the University of Minnesota?,Gopher,badger,4,0,
Who is the voice of Gary the snail on Spongebob Squarepants? clancy brown,What Internet search utility was named after the mascot of the University of Minnesota?,Gopher,bear,4,0,
Whose theme song was 'Where the Blue of the night Meets the Gold of the Day'? sinatra,What Internet search utility was named after the mascot of the University of Minnesota?,Gopher,beaver,4,0,
What colorless gas is essential in the production of fertilizers and light bulbs? argon,What Internet search utility was named after the mascot of the University of Minnesota?,Gopher,bing,1,0,
What cartoonist has had three insect species named after him? don't know,What Internet search utility was named after the mascot of the University of Minnesota?,Gopher,bobcat,4,0,
What is the most commonly known tryptamine? don't know,What Internet search utility was named after the mascot of the University of Minnesota?,Gopher,browser,1,0,
From what were jack-o-lanterns originally carved? skip,What Internet search utility was named after the mascot of the University of Minnesota?,Gopher,comcast,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune? for its the,What Internet search utility was named after the mascot of the University of Minnesota?,Gopher,dogpile,3,0,
What Internet search utility was named after the mascot of the University of Minnesota? goldie,What Internet search utility was named after the mascot of the University of Minnesota?,Gopher,duck duck go,3,0,
Who wrote the song 'I Love Paris'? not sure,What Internet search utility was named after the mascot of the University of Minnesota?,Gopher,duckduckgo,3,0,
What is 'Turdus migratorius' better known as? move forward,What Internet search utility was named after the mascot of the University of Minnesota?,Gopher,fetch,1,0,
The forint is the monetary unit of what central European country? ukraine,What Internet search utility was named after the mascot of the University of Minnesota?,Gopher,fido,1,0,
Where was Seth MacFarlane born? boston,What Internet search utility was named after the mascot of the University of Minnesota?,Gopher,fire fox,1,0,
Which hit-making band featured Andy Summers and Stewart Copeland? beegees,What Internet search utility was named after the mascot of the University of Minnesota?,Gopher,firefox,1,0,
Which Tour did Prince begin in 1990? purple rain tour,What Internet search utility was named after the mascot of the University of Minnesota?,Gopher,go,1,0,
What is Mark Twain's real name? samuel clemons,What Internet search utility was named after the mascot of the University of Minnesota?,Gopher,goafer,7,1,
What song took over No. 1 from Whitney Houston's 'I Will Always Love You'? tubthumping,What Internet search utility was named after the mascot of the University of Minnesota?,Gopher,goffer,7,1,
Who hosted the 1994 MTV Movie awards? jim carey,What Internet search utility was named after the mascot of the University of Minnesota?,Gopher,goldie,1,0,
What was the name of the ship on which Charles Darwin made his scientific voyage? not sure,What Internet search utility was named after the mascot of the University of Minnesota?,Gopher,golpher,3,0,
What chemical compound comes from the Greek word for 'primary'? don't know,What Internet search utility was named after the mascot of the University of Minnesota?,Gopher,goofer,3,0,
What was the B-17 long-range bomber nicknamed in World War II? thumper,What Internet search utility was named after the mascot of the University of Minnesota?,Gopher,google,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi? not sure,What Internet search utility was named after the mascot of the University of Minnesota?,Gopher,gopher,7,1,
What is the genus of the seahorse? not sure,What Internet search utility was named after the mascot of the University of Minnesota?,Gopher,gorilla,2,0,
"What U.S. president's face graces a $100,000 bill? johnson",What Internet search utility was named after the mascot of the University of Minnesota?,Gopher,headhodge,2,0,
"What nation's 90-man army is the world's oldest, dating back to 1506? luxemberg",What Internet search utility was named after the mascot of the University of Minnesota?,Gopher,jeeves,1,0,
What did Jonas Salk invent? the radio,What Internet search utility was named after the mascot of the University of Minnesota?,Gopher,lycos,1,0,
Who wrote the Star Spangled Banner? mary,What Internet search utility was named after the mascot of the University of Minnesota?,Gopher,marlin,1,0,
What's the name of the main airport in Madrid? rocares,What Internet search utility was named after the mascot of the University of Minnesota?,Gopher,marlins,1,0,
What fraternity was George W. Bush in? alpha kappa kai,What Internet search utility was named after the mascot of the University of Minnesota?,Gopher,mozilla,1,0,
What group's lead guitar player is known for his amps with control knobs that go up to 11? acdc,What Internet search utility was named after the mascot of the University of Minnesota?,Gopher,rover,1,0,
Who was the first democratically elected president of Russia? keren,What Internet search utility was named after the mascot of the University of Minnesota?,Gopher,the gopher,7,1,
What's the unit of capacity for fuel wood? core,What Internet search utility was named after the mascot of the University of Minnesota?,Gopher,valuabe,1,0,
On which ship did President Nixon welcome the astronauts back from the Moon? rover,What Internet search utility was named after the mascot of the University of Minnesota?,Gopher,viking,1,0,
What was the poison used at Socrates' execution? nightlock,What Internet search utility was named after the mascot of the University of Minnesota?,Gopher,vikings,1,0,
Who invented the radio? carl frances,What Internet search utility was named after the mascot of the University of Minnesota?,Gopher,yahoo,1,0,
What is the name of the goldfish in 'Pinocchio'? roy,What Internet search utility was named after the mascot of the University of Minnesota?,Gopher,yahoo!,1,0,
Who was the first solo female host of the Academy Awards Ceremony? whoopi goldeberg,What is 'Turdus migratorius' better known as?,American robin,a bird,5,0,
Motor racing's Juan Manuel Fangio came from which country? argentenia,What is 'Turdus migratorius' better known as?,American robin,a duck,4,0,
Who invented the steamboat Clermont? frank reign,What is 'Turdus migratorius' better known as?,American robin,a medical term,1,0,
What Pakistani was the first head of state in the 20th century to give birth in office? parcski,What is 'Turdus migratorius' better known as?,American robin,acid,1,0,
What was the name of the lunar module that landed the first man on the moon? hopper,What is 'Turdus migratorius' better known as?,American robin,adaptation,1,0,
What was actor Lon Chaney also known by? dick tracy,What is 'Turdus migratorius' better known as?,American robin,aids,1,0,
What is the name of Roy Rogers' horse? war hero,What is 'Turdus migratorius' better known as?,American robin,american bird,6,0,
Who is the voice of Gary the snail on Spongebob Squarepants? tom hanes,What is 'Turdus migratorius' better known as?,American robin,american canary,6,0,
What cartoonist has had three insect species named after him? ant brewer,What is 'Turdus migratorius' better known as?,American robin,american oriole,6,0,
What is the most commonly known tryptamine? melatonin,What is 'Turdus migratorius' better known as?,American robin,american robin,7,1,
What Polish political movement got the support of Pope John Paul II in the 1980s? independency,What is 'Turdus migratorius' better known as?,American robin,american robins,7,1,
From what were jack-o-lanterns originally carved? tulips,What is 'Turdus migratorius' better known as?,American robin,an insect,2,0,
Who wrote the song 'I Love Paris'? mark seigfried,What is 'Turdus migratorius' better known as?,American robin,arm,1,0,
In what city was the movie 'Leprechaun' shot? los alamos ca,What is 'Turdus migratorius' better known as?,American robin,bird,6,0,
What is 'Turdus migratorius' better known as? american oriole,What is 'Turdus migratorius' better known as?,American robin,bird migration,2,0,
For which president was the blueberry jelly bean made? carter,What is 'Turdus migratorius' better known as?,American robin,birds,4,0,
What was the name of the ship on which Charles Darwin made his scientific voyage? fox,What is 'Turdus migratorius' better known as?,American robin,black bird,4,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi? eva donglas,What is 'Turdus migratorius' better known as?,American robin,black mold,1,0,
What is the genus of the seahorse? hippocractus,What is 'Turdus migratorius' better known as?,American robin,blue swallow,4,0,
Which horse was Horse of the Year from 1960 to 1964? admiral,What is 'Turdus migratorius' better known as?,American robin,bowel movement,1,0,
Which hit-making band featured Andy Summers and Stewart Copeland? the babys,What is 'Turdus migratorius' better known as?,American robin,bull,1,0,
Who was the first democratically elected president of Russia? yivnikoff,What is 'Turdus migratorius' better known as?,American robin,butterfly,1,0,
Whose theme song was 'Where the Blue of the night Meets the Gold of the Day'? elvis,What is 'Turdus migratorius' better known as?,American robin,carbon,1,0,
What is Mark Twain's real name? herman,What is 'Turdus migratorius' better known as?,American robin,cardinal,4,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune? the emblem of,What is 'Turdus migratorius' better known as?,American robin,chickadee,4,0,
Who invented the steamboat Clermont? clements,What is 'Turdus migratorius' better known as?,American robin,class migration,1,0,
What's the first word uttered in Citizen Kane? murder,What is 'Turdus migratorius' better known as?,American robin,constipation,1,0,
What cartoonist has had three insect species named after him? schultz,What is 'Turdus migratorius' better known as?,American robin,crow,4,0,
What's the name of the main airport in Madrid? don't know,What is 'Turdus migratorius' better known as?,American robin,diarrhea,1,0,
What food is the leading source of salmonella poisoning? egg,What is 'Turdus migratorius' better known as?,American robin,dog poop,1,0,
Who wrote the Star Spangled Banner? not sure,What is 'Turdus migratorius' better known as?,American robin,dung beatle,1,0,
The forint is the monetary unit of what central European country? japan,What is 'Turdus migratorius' better known as?,American robin,dung beetle,1,0,
What is the name of the goldfish in 'Pinocchio'? spot,What is 'Turdus migratorius' better known as?,American robin,education,1,0,
What was the B-17 long-range bomber nicknamed in World War II? not sure,What is 'Turdus migratorius' better known as?,American robin,elbow,1,0,
What song did both Ronald Reagan and Walter Mondale quote in the 1984 presidential campaign? not sure,What is 'Turdus migratorius' better known as?,American robin,excrement,1,0,
What heat-resistant element replaced cotton as the filament of choice in electric light bulbs in 1910? coppper,What is 'Turdus migratorius' better known as?,American robin,feces,1,0,
What is the name of the composer who wrote Don Giovanni? not sure,What is 'Turdus migratorius' better known as?,American robin,fish,1,0,
What two fruits were Hawaiian women once forbidden by law to eat? apple,What is 'Turdus migratorius' better known as?,American robin,floating eye disease,1,0,
What are you shopping for if you're sized up by a Brannock Device? not sure,What is 'Turdus migratorius' better known as?,American robin,flower,1,0,
What sport uses stones and brooms? not sure,What is 'Turdus migratorius' better known as?,American robin,flying fish,1,0,
What is 10% of the salt mined in the world used for in America? not sure,What is 'Turdus migratorius' better known as?,American robin,food,1,0,
What fraternity was George W. Bush in? skull and crossbones,What is 'Turdus migratorius' better known as?,American robin,gluton,1,0,
Who was president of the US when Uncle Sam first got a beard? eisenhower,What is 'Turdus migratorius' better known as?,American robin,gold,1,0,
What cartoon character did Walter Lantz create? not sure,What is 'Turdus migratorius' better known as?,American robin,goose,2,0,
What type of material constitutes at least half of all toothpastes? not sure,What is 'Turdus migratorius' better known as?,American robin,grease,1,0,
What leader said in 1942 'Never before have we had so little time in which to do so much'? not sure,What is 'Turdus migratorius' better known as?,American robin,great migration,1,0,
What vice president was accused of being drunk when sworn in? not sure,What is 'Turdus migratorius' better known as?,American robin,headache,1,0,
What song took over No. 1 from Whitney Houston's 'I Will Always Love You'? bad,What is 'Turdus migratorius' better known as?,American robin,heartman,1,0,
What was actor Lon Chaney also known by? frankenstein,What is 'Turdus migratorius' better known as?,American robin,high tide,1,0,
What's the unit of capacity for fuel wood? 2000,What is 'Turdus migratorius' better known as?,American robin,humming bird,4,0,
What was the poison used at Socrates' execution? laudinum,What is 'Turdus migratorius' better known as?,American robin,immigrant,1,0,
Motor racing's Juan Manuel Fangio came from which country? greece,What is 'Turdus migratorius' better known as?,American robin,jeffrey,1,0,
What did Jonas Salk invent? not sure,What is 'Turdus migratorius' better known as?,American robin,john paul,1,0,
Which Tour did Prince begin in 1990? not sure,What is 'Turdus migratorius' better known as?,American robin,johnny,1,0,
In what game are the standard pieces of Staunton design? not sure,What is 'Turdus migratorius' better known as?,American robin,late migration,1,0,
What state shares its border with the most states? idaho,What is 'Turdus migratorius' better known as?,American robin,live on,1,0,
Who hosted the 1994 MTV Movie awards? not sure,What is 'Turdus migratorius' better known as?,American robin,long migration,1,0,
What was the first war in which one jet plane shot down another? not sure,What is 'Turdus migratorius' better known as?,American robin,mighty man,1,0,
"What U.S. president's face graces a $100,000 bill? grant",What is 'Turdus migratorius' better known as?,American robin,migraines,1,0,
From what were jack-o-lanterns originally carved? not sure,What is 'Turdus migratorius' better known as?,American robin,migrating,1,0,
What is the ninth most poisonous animal in the world? kimono,What is 'Turdus migratorius' better known as?,American robin,migrating songbird,2,0,
What chemical compound comes from the Greek word for 'primary'? not sure,What is 'Turdus migratorius' better known as?,American robin,migration,1,0,
What do birds rely on to swallow? air,What is 'Turdus migratorius' better known as?,American robin,migratory birds,2,0,
Copper and what else are two main constituents of bronze? lead,What is 'Turdus migratorius' better known as?,American robin,move forward,1,0,
"What nation's 90-man army is the world's oldest, dating back to 1506? china",What is 'Turdus migratorius' better known as?,American robin,pigeon,4,0,
What is 'Turdus migratorius' better known as? bird,What is 'Turdus migratorius' better known as?,American robin,poop,1,0,
Which horse was Horse of the Year from 1960 to 1964? man o war,What is 'Turdus migratorius' better known as?,American robin,protein,1,0,
What colorless gas is essential in the production of fertilizers and light bulbs? neon,What is 'Turdus migratorius' better known as?,American robin,red bird,6,0,
On which ship did President Nixon welcome the astronauts back from the Moon? not sure,What is 'Turdus migratorius' better known as?,American robin,red robin,6,1,
Who is the voice of Gary the snail on Spongebob Squarepants? not sure,What is 'Turdus migratorius' better known as?,American robin,red sparrow,5,0,
What British group got its name from the title of a 1950 Muddy Waters song? not sure,What is 'Turdus migratorius' better known as?,American robin,rest in peace,1,0,
Who was the first country artist to sell over 10 million copies of an album? hank williams,What is 'Turdus migratorius' better known as?,American robin,rigor mortis,1,0,
Who was the U.S. president when the first edition of the Farmer's Almanac was published? jefferson,What is 'Turdus migratorius' better known as?,American robin,robin,6,1,
For which president was the blueberry jelly bean made? not sure,What is 'Turdus migratorius' better known as?,American robin,ruler,1,0,
What body part is low-density lipoprotein most likely to clog? viens,What is 'Turdus migratorius' better known as?,American robin,seagull,2,0,
What writer's last words were: 'Last words are for fools who haven't said enough'? not sure,What is 'Turdus migratorius' better known as?,American robin,seahorse,1,0,
Who appeared on the cover of 'Seventeen' Magazine before selling over 11 million copies of her debut album? madonna,What is 'Turdus migratorius' better known as?,American robin,seasons,1,0,
What is the most commonly known tryptamine? not sure,What is 'Turdus migratorius' better known as?,American robin,seat turtle,1,0,
What city's worker-student protests of 1968 resulted in a 33 percent rise in the national minimum wage? not sure,What is 'Turdus migratorius' better known as?,American robin,self preservation,1,0,
Whose guitar version of The Star-Spangled Banner was featured in a 1996 Aiwa TV ad? not sure,What is 'Turdus migratorius' better known as?,American robin,sewer system,1,0,
What president had to read a news ticker to discover that his daughter Luci was engaged? not sure,What is 'Turdus migratorius' better known as?,American robin,shit,1,0,
What was the first physician to record case histories of patients? ptolemy,What is 'Turdus migratorius' better known as?,American robin,slate,1,0,
Who was stuck in the spacecraft while Neil Armstrong and Buzz Aldrin moon-walked? john glen,What is 'Turdus migratorius' better known as?,American robin,some bird,4,0,
What Polish political movement got the support of Pope John Paul II in the 1980s? not sure,What is 'Turdus migratorius' better known as?,American robin,spring,1,0,
Where was Seth MacFarlane born? skip,What is 'Turdus migratorius' better known as?,American robin,swallow,4,0,
In which Ohio city was the 1995 Bosnian peace accord signed in? not sure,What is 'Turdus migratorius' better known as?,American robin,tardy,1,0,
Whose theme song was 'Where the Blue of the night Meets the Gold of the Day'? not sure,What is 'Turdus migratorius' better known as?,American robin,tardy migration,1,0,
What is Mark Twain's real name? not sure,What is 'Turdus migratorius' better known as?,American robin,the common robin,6,1,
What cartoonist has had three insect species named after him? not sure,What is 'Turdus migratorius' better known as?,American robin,the frog,1,0,
Which beverage company featured the hit 'Like A Prayer' in its advertisement? pepsid,What is 'Turdus migratorius' better known as?,American robin,the great migration,1,0,
What's the name of the main airport in Madrid? braja,What is 'Turdus migratorius' better known as?,American robin,the pope,1,0,
The forint is the monetary unit of what central European country? not sure,What is 'Turdus migratorius' better known as?,American robin,the reformation,1,0,
What song did both Ronald Reagan and Walter Mondale quote in the 1984 presidential campaign? born in the use,What is 'Turdus migratorius' better known as?,American robin,the times,1,0,
What two fruits were Hawaiian women once forbidden by law to eat? bananas and coconut,What is 'Turdus migratorius' better known as?,American robin,theodore roosevelt,1,0,
What is 10% of the salt mined in the world used for in America? de icing,What is 'Turdus migratorius' better known as?,American robin,thrush,1,0,
What fraternity was George W. Bush in? not sure,What is 'Turdus migratorius' better known as?,American robin,thursday move,1,0,
What song took over No. 1 from Whitney Houston's 'I Will Always Love You'? not sure,What is 'Turdus migratorius' better known as?,American robin,tigger,1,0,
Motor racing's Juan Manuel Fangio came from which country? not sure,What is 'Turdus migratorius' better known as?,American robin,title,1,0,
Who hosted the 1994 MTV Movie awards? whoopi goldberg,What is 'Turdus migratorius' better known as?,American robin,toilet,1,0,
What was the name of the first probe to send back pictures from Mars? not sure,What is 'Turdus migratorius' better known as?,American robin,tooth ache,1,0,
"What U.S. president's face graces a $100,000 bill? not sure",What is 'Turdus migratorius' better known as?,American robin,tree,1,0,
Who was first to publish the theory that the Earth revolves around the sun? not sure,What is 'Turdus migratorius' better known as?,American robin,turkey,1,0,
In what city is Texas State University? not sure,What is 'Turdus migratorius' better known as?,American robin,turtle,1,0,
"In horse racing, in which city is the Japan Cup held? not sure",What is 'Turdus migratorius' better known as?,American robin,turtle migration,1,0,
"What nation's 90-man army is the world's oldest, dating back to 1506? venice",What is 'Turdus migratorius' better known as?,American robin,turtles migrating,1,0,
Which horse was Horse of the Year from 1960 to 1964? not sure,What is 'Turdus migratorius' better known as?,American robin,vanishing poop,1,0,
What colorless gas is essential in the production of fertilizers and light bulbs? not sure,What is 'Turdus migratorius' better known as?,American robin,wildebeest,1,0,
Who collaborated with Michael Bolton on Bolton's 'Steel Bars' hit? not sure,What is 'Turdus migratorius' better known as?,American robin,world map,1,0,
Who was the U.S. president when the first edition of the Farmer's Almanac was published? not sure,What is 10% of the salt mined in the world used for in America?,De-icing roads,100 million pounds,1,0,
Who appeared on the cover of 'Seventeen' Magazine before selling over 11 million copies of her debut album? not sure,What is 10% of the salt mined in the world used for in America?,De-icing roads,bacon,1,0,
What was the first physician to record case histories of patients? not sure,What is 10% of the salt mined in the world used for in America?,De-icing roads,batteries,1,0,
In what city was the movie 'Leprechaun' shot? not sure,What is 10% of the salt mined in the world used for in America?,De-icing roads,battery manufacture,1,0,
What did Jonas Salk invent? telephone,What is 10% of the salt mined in the world used for in America?,De-icing roads,cleaning,2,0,
What colorless gas is essential in the production of fertilizers and light bulbs? sulfur,What is 10% of the salt mined in the world used for in America?,De-icing roads,computer parts processing,1,0,
What British group got its name from the title of a 1950 Muddy Waters song? beattles,What is 10% of the salt mined in the world used for in America?,De-icing roads,consumption,1,0,
What is the genus of the seahorse? muskata,What is 10% of the salt mined in the world used for in America?,De-icing roads,cooking,1,0,
What Polish political movement got the support of Pope John Paul II in the 1980s? separatists,What is 10% of the salt mined in the world used for in America?,De-icing roads,cure meat,1,0,
What leader said in 1942 'Never before have we had so little time in which to do so much'? wilt chamberlain,What is 10% of the salt mined in the world used for in America?,De-icing roads,de ice roads,7,1,
Who appeared on the cover of 'Seventeen' Magazine before selling over 11 million copies of her debut album? madona,What is 10% of the salt mined in the world used for in America?,De-icing roads,de icing,7,1,
What is the middle item the Cat in the Hat eventually balances in his left hand? apple,What is 10% of the salt mined in the world used for in America?,De-icing roads,de icing roads,7,1,
The forint is the monetary unit of what central European country? switzerland,What is 10% of the salt mined in the world used for in America?,De-icing roads,de-ice roads,7,1,
For which president was the blueberry jelly bean made? jefferson,What is 10% of the salt mined in the world used for in America?,De-icing roads,de-icing,7,1,
What is the name of the goldfish in 'Pinocchio'? sparrow,What is 10% of the salt mined in the world used for in America?,De-icing roads,de-icing roads,7,1,
What type of material constitutes at least half of all toothpastes? fluoride,What is 10% of the salt mined in the world used for in America?,De-icing roads,de-icing the roads,7,1,
Who was the U.S. president when the first edition of the Farmer's Almanac was published? john adams,What is 10% of the salt mined in the world used for in America?,De-icing roads,decicing roads,7,1,
What's the name of the main airport in Madrid? aeropuerto madrid,What is 10% of the salt mined in the world used for in America?,De-icing roads,deiccing roads,7,1,
"What nation's 90-man army is the world's oldest, dating back to 1506? britain",What is 10% of the salt mined in the world used for in America?,De-icing roads,deice roads,7,1,
What Pakistani was the first head of state in the 20th century to give birth in office? sahlem ahbed,What is 10% of the salt mined in the world used for in America?,De-icing roads,deicer,7,1,
What chemical compound comes from the Greek word for 'primary'? primer,What is 10% of the salt mined in the world used for in America?,De-icing roads,deicing roads,7,1,
Who wrote the Star Spangled Banner? alex,What is 10% of the salt mined in the world used for in America?,De-icing roads,eating,1,0,
Who invented the radio? alexander bell,What is 10% of the salt mined in the world used for in America?,De-icing roads,feeding animals,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi? lesandro,What is 10% of the salt mined in the world used for in America?,De-icing roads,food,1,0,
What's the unit of capacity for fuel wood? logs,What is 10% of the salt mined in the world used for in America?,De-icing roads,food preservation,1,0,
What sport uses stones and brooms? quiditch,What is 10% of the salt mined in the world used for in America?,De-icing roads,french fries,1,0,
